nb_mentions_global_g,nb_candidats_g,pourcent_mention_par_candidat_g,taux_de_reussite_g,note_a_l_ecrit_g,nb_mentions_b_g,pourcent_mentions_b_g,secteur,code_departement
28,62,45.1612903225806,61.0,8.3,9,32.1428571428571,0,2
28,62,45.1612903225806,63.0,8.6,8,28.5714285714286,0,42
28,65,43.0769230769231,77.0,8.5,7,25,0,57
28,84,33.3333333333333,76.0,4.5,10,35.7142857142857,0,971
29,30,96.6666666666667,100.0,12.2,8,27.5862068965517,1,40
29,32,90.625,100.0,11.2,11,37.9310344827586,1,46
29,33,87.8787878787879,100.0,12.2,13,44.8275862068966,1,50
29,34,85.2941176470588,97.0,12.2,10,34.4827586206897,1,93
29,35,82.8571428571429,94.0,12.3,11,37.9310344827586,0,61
29,35,82.8571428571429,97.0,12.2,5,17.2413793103448,0,55
29,35,82.8571428571429,100.0,12.2,14,48.2758620689655,1,62
